"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.890886060E-1,2.002000110E-3,-1.886000042E-3,-1.522209942E-1,1.522458409E-1
4.989036830E-1,2.002000110E-3,-1.886000042E-3,-1.522209942E-1,1.522458409E-1
5.087209350E-1,2.218999900E-3,-1.199000049E-3,-1.517490000E-1,1.517699593E-1
5.185381640E-1,2.218999900E-3,-1.199000049E-3,-1.517490000E-1,1.517699593E-1
5.283578520E-1,3.472999902E-3,2.661000006E-3,-1.519870013E-1,1.520499629E-1
5.381775430E-1,3.472999902E-3,2.661000006E-3,-1.519870013E-1,1.520499629E-1
5.479960470E-1,9.259000421E-3,3.110999940E-3,-1.525759995E-1,1.528883352E-1
5.578145480E-1,9.259000421E-3,3.110999940E-3,-1.525759995E-1,1.528883352E-1
5.676318890E-1,1.282200031E-2,-8.139000274E-3,-1.563380063E-1,1.570739291E-1
5.774492360E-1,1.282200031E-2,-8.139000274E-3,-1.563380063E-1,1.570739291E-1
5.872678830E-1,1.878800057E-2,-1.524799969E-2,-1.571860015E-1,1.590375099E-1
5.970865360E-1,1.878800057E-2,-1.524799969E-2,-1.571860015E-1,1.590375099E-1
6.069046300E-1,1.996400021E-2,-1.678300090E-2,-1.560759991E-1,1.582401590E-1
6.167227470E-1,1.996400021E-2,-1.678300090E-2,-1.560759991E-1,1.582401590E-1
6.265390490E-1,2.575000003E-2,-1.852899976E-2,-1.559830010E-1,1.591762637E-1
6.363553960E-1,2.575000003E-2,-1.852899976E-2,-1.559830010E-1,1.591762637E-1
6.461710690E-1,2.732699923E-2,-1.737999916E-2,-1.599030048E-1,1.631496252E-1
6.559867220E-1,2.732699923E-2,-1.737999916E-2,-1.599030048E-1,1.631496252E-1
6.658037040E-1,3.130400181E-2,-1.928200014E-2,-1.603270024E-1,1.644885521E-1
6.756206650E-1,3.130400181E-2,-1.928200014E-2,-1.603270024E-1,1.644885521E-1
6.854366070E-1,3.149399906E-2,-1.771000028E-2,-1.630029976E-1,1.669595560E-1
6.952525700E-1,3.149399906E-2,-1.771000028E-2,-1.630029976E-1,1.669595560E-1
7.050711860E-1,3.680299968E-2,-1.791100018E-2,-1.628009975E-1,1.678672973E-1
7.148897990E-1,3.680299968E-2,-1.791100018E-2,-1.628009975E-1,1.678672973E-1
7.247085570E-1,3.915999830E-2,-1.799000055E-2,-1.591629982E-1,1.648939222E-1
7.345273280E-1,3.915999830E-2,-1.799000055E-2,-1.591629982E-1,1.648939222E-1
